driver_id,driver_name,age,Trips,orders_delivered,avg_missing_items,total_missing_items,total_delivered_items,total_items,missing_ratio,avg_order_amount,orders_with_missing,problem_order_ratio
WDID09872,Tonya Chung,18,35,7,0.0,0,104,104,0.0,291.25857142857143,0,0.0
WDID09873,Pamela Moore,18,64,11,0.5454545454545454,6,94,100,0.06,350.8136363636364,4,0.36363636363636365
WDID09874,Billy Lawson,18,37,11,0.5454545454545454,6,103,109,0.05504587155963303,259.8463636363636,4,0.36363636363636365
WDID09875,Stephen Randolph,18,64,11,0.5454545454545454,6,86,92,0.06521739130434782,257.4990909090909,4,0.36363636363636365
WDID09876,Jordan Daniel,18,53,11,0.5454545454545454,6,99,105,0.05714285714285714,266.84727272727275,4,0.36363636363636365
WDID09877,James White,18,14,11,0.5454545454545454,6,111,117,0.05128205128205128,304.00545454545454,4,0.36363636363636365
WDID09878,Roger Green,18,22,11,0.5454545454545454,6,123,129,0.046511627906976744,283.8445454545454,4,0.36363636363636365
WDID09879,Shane Palmer,18,35,11,0.5454545454545454,6,95,101,0.0594059405940594,476.03999999999996,4,0.36363636363636365
WDID09880,Brittany Gordon,18,36,11,0.5454545454545454,6,136,142,0.04225352112676056,307.66818181818184,4,0.36363636363636365
WDID09881,Tracey Watkins,18,26,11,0.5454545454545454,6,93,99,0.06060606060606061,317.6127272727273,4,0.36363636363636365
WDID09882,Angela Young,18,75,11,0.5454545454545454,6,92,98,0.061224489795918366,267.1027272727273,4,0.36363636363636365
WDID09883,Charles Rios DVM,18,62,11,0.5454545454545454,6,99,105,0.05714285714285714,259.9736363636364,4,0.36363636363636365
WDID09884,James Winters,18,22,11,0.5454545454545454,6,86,92,0.06521739130434782,281.1372727272728,4,0.36363636363636365
WDID09885,Jacob Barker,18,50,11,0.45454545454545453,5,141,146,0.03424657534246575,341.41090909090906,4,0.36363636363636365
WDID09886,Jasmine Perez,18,45,11,0.45454545454545453,5,85,90,0.05555555555555555,405.3736363636363,4,0.36363636363636365
WDID09887,Debbie Cox,18,62,11,0.45454545454545453,5,89,94,0.05319148936170213,318.2554545454545,4,0.36363636363636365
WDID09888,Nancy Porter,18,58,11,0.45454545454545453,5,86,91,0.054945054945054944,190.43818181818185,4,0.36363636363636365
WDID09889,Carla James,18,66,11,0.45454545454545453,5,126,131,0.03816793893129771,335.75272727272727,4,0.36363636363636365
WDID09890,Cynthia Owens,18,67,11,0.45454545454545453,5,109,114,0.043859649122807015,283.2018181818182,4,0.36363636363636365
WDID09891,Justin Parsons,18,16,11,0.45454545454545453,5,98,103,0.04854368932038835,273.2627272727273,4,0.36363636363636365
WDID09892,Andrew Lambert,18,34,11,0.45454545454545453,5,102,107,0.04672897196261682,282.5618181818182,4,0.36363636363636365
WDID09893,Mrs. Valerie Schwartz MD,18,77,11,0.45454545454545453,5,106,111,0.04504504504504504,267.94090909090903,4,0.36363636363636365
WDID09894,Jennifer Wright,18,61,11,0.45454545454545453,5,145,150,0.03333333333333333,257.83272727272725,4,0.36363636363636365
WDID09895,Jason Moss,18,18,11,0.45454545454545453,5,79,84,0.05952380952380952,159.4790909090909,4,0.36363636363636365
WDID09896,Anthony Robertson,18,77,11,0.45454545454545453,5,118,123,0.04065040650406504,317.5918181818182,4,0.36363636363636365
WDID09897,Brandon Chavez,18,76,7,0.0,0,70,70,0.0,237.76,0,0.0
WDID09898,Judith Howard,18,58,7,0.0,0,69,69,0.0,341.6171428571428,0,0.0
WDID09899,Stephen Patton,18,47,7,0.0,0,51,51,0.0,275.76000000000005,0,0.0
WDID09900,Melissa Mcbride,18,37,7,0.0,0,75,75,0.0,294.28285714285715,0,0.0
WDID09901,Cassandra Nguyen,18,42,7,0.0,0,48,48,0.0,347.53000000000003,0,0.0
WDID09902,Patricia Vance,18,38,7,0.0,0,56,56,0.0,299.34857142857146,0,0.0
WDID09903,Paul Gomez,18,53,7,0.0,0,62,62,0.0,272.7471428571429,0,0.0
WDID09904,Chris Davis,18,43,7,0.0,0,79,79,0.0,262.88428571428574,0,0.0
WDID09905,Brandy Martinez,18,50,7,0.0,0,83,83,0.0,249.73285714285717,0,0.0
WDID09906,Michael Willis,18,23,7,0.0,0,76,76,0.0,232.08714285714285,0,0.0
WDID09907,Brandy Pittman,18,50,7,0.0,0,53,53,0.0,208.11999999999998,0,0.0
WDID09908,Ann Hall,18,64,7,0.0,0,58,58,0.0,237.24571428571429,0,0.0
